epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
62,2531.37,0.28344,0.33094,0.23336,0.78269,0,0.99609,0.99574,0.99494,0.98181,0.99621,0.99573,0.99494,0.91959,0.22722,0.34151,0.12941,0.75657,0,0.00157926,0.00157926,0.00157926
63,2572.17,0.28332,0.3347,0.23231,0.78285,0,0.99663,0.99569,0.9949,0.98205,0.99662,0.99569,0.9949,0.92019,0.22607,0.34041,0.1286,0.757,0,0.00156646,0.00156646,0.00156646
64,2613.05,0.28493,0.33474,0.23392,0.78344,0,0.99638,0.99654,0.99494,0.98256,0.99614,0.99691,0.99494,0.9202,0.22655,0.34367,0.12806,0.75699,0,0.00155353,0.00155353,0.00155353
65,2654,0.28219,0.32604,0.23029,0.78302,0,0.99666,0.99679,0.99497,0.98295,0.99666,0.99679,0.99497,0.921,0.22413,0.34223,0.1271,0.75608,0,0.00154047,0.00154047,0.00154047
66,2695.03,0.28122,0.32857,0.22889,0.78301,0,0.99716,0.99643,0.99494,0.98288,0.99708,0.99626,0.99494,0.92087,0.22413,0.33724,0.1266,0.75626,0,0.00152727,0.00152727,0.00152727
67,2735.95,0.28407,0.33108,0.22997,0.78268,0,0.99651,0.99698,0.99494,0.98174,0.99646,0.99693,0.99494,0.91836,0.22882,0.34884,0.12766,0.75649,0,0.00151395,0.00151395,0.00151395
68,2776.89,0.28286,0.33108,0.23019,0.783,0,0.99695,0.99655,0.99494,0.9822,0.9969,0.9965,0.99494,0.91851,0.22886,0.34522,0.1274,0.75657,0,0.0015005,0.0015005,0.0015005
69,2817.86,0.28192,0.33175,0.22942,0.78277,0,0.99678,0.99681,0.99493,0.98293,0.99666,0.99674,0.99493,0.92045,0.22548,0.34188,0.12659,0.75669,0,0.00148694,0.00148694,0.00148694
70,2858.86,0.28155,0.32624,0.22521,0.78212,0,0.99701,0.99662,0.99494,0.98279,0.99705,0.99651,0.99494,0.92018,0.22461,0.34461,0.12537,0.75636,0,0.00147325,0.00147325,0.00147325
71,2899.56,0.28103,0.3268,0.2268,0.78238,0,0.99714,0.997,0.99494,0.98314,0.99713,0.99687,0.99494,0.91971,0.22348,0.34302,0.12432,0.7561,0,0.00145945,0.00145945,0.00145945
72,2940.42,0.2803,0.32531,0.22539,0.78232,0,0.99648,0.99727,0.99493,0.98273,0.99641,0.99709,0.99493,0.9196,0.2255,0.34401,0.12449,0.75688,0,0.00144554,0.00144554,0.00144554
73,2981.43,0.27944,0.3265,0.22281,0.78323,0,0.99678,0.99731,0.99492,0.98286,0.99679,0.99727,0.99492,0.91994,0.22628,0.34337,0.12392,0.75719,0,0.00143152,0.00143152,0.00143152
74,3022.51,0.27814,0.32733,0.2234,0.78247,0,0.99708,0.99703,0.99494,0.98315,0.9971,0.997,0.99494,0.92095,0.22395,0.34127,0.1232,0.75728,0,0.0014174,0.0014174,0.0014174
