epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
59,4652.37,0.22383,0.29299,0.19813,0.7925,0,0.99935,0.99687,0.99499,0.99166,0.99906,0.99714,0.99499,0.9645,0.16308,0.24719,0.09555,0.7589,0,0.00161678,0.00161678,0.00161678
60,4731.05,0.22327,0.29165,0.19689,0.79183,0,0.99907,0.99725,0.99499,0.99165,0.99907,0.99725,0.99499,0.96446,0.16283,0.24688,0.09535,0.75882,0,0.00160442,0.00160442,0.00160442
61,4810.25,0.2241,0.29204,0.19824,0.79268,0,0.99902,0.99731,0.99499,0.99149,0.99902,0.99731,0.99499,0.96441,0.16274,0.24663,0.09504,0.75883,0,0.00159191,0.00159191,0.00159191
62,4889.12,0.22164,0.29043,0.19509,0.79247,0,0.99918,0.99711,0.99499,0.99176,0.99891,0.99728,0.99499,0.96432,0.16253,0.24653,0.09474,0.7588,0,0.00157926,0.00157926,0.00157926
63,4968.15,0.22242,0.29126,0.19533,0.79231,0,0.99909,0.99711,0.99499,0.99166,0.99881,0.99734,0.99499,0.96439,0.16239,0.2463,0.09458,0.75876,0,0.00156646,0.00156646,0.00156646
64,5047.33,0.22324,0.29184,0.1968,0.79219,0,0.99905,0.99716,0.99499,0.99176,0.99894,0.99725,0.99499,0.96448,0.16213,0.24625,0.09441,0.75871,0,0.00155353,0.00155353,0.00155353
65,5126.67,0.22242,0.29106,0.19467,0.79282,0,0.99911,0.99712,0.99499,0.99185,0.99878,0.99733,0.99499,0.96453,0.16225,0.24644,0.09431,0.7587,0,0.00154047,0.00154047,0.00154047
66,5205.82,0.22082,0.28858,0.19116,0.79186,0,0.99902,0.9972,0.99499,0.99184,0.9988,0.99743,0.99499,0.96432,0.16199,0.24637,0.09414,0.75866,0,0.00152727,0.00152727,0.00152727
67,5284.57,0.22109,0.28734,0.19287,0.79227,0,0.99878,0.99746,0.99499,0.99175,0.99878,0.99746,0.99499,0.9644,0.16191,0.24625,0.0941,0.75856,0,0.00151395,0.00151395,0.00151395
68,5363.63,0.22068,0.28642,0.19249,0.79241,0,0.99884,0.99744,0.99499,0.99167,0.99884,0.99744,0.99499,0.9645,0.16175,0.24615,0.09383,0.75847,0,0.0015005,0.0015005,0.0015005
69,5442.47,0.22067,0.28941,0.1924,0.7922,0,0.99885,0.99742,0.99499,0.99175,0.99885,0.99742,0.99499,0.96455,0.16177,0.24596,0.09384,0.75843,0,0.00148694,0.00148694,0.00148694
70,5521.9,0.21866,0.28508,0.18934,0.7922,0,0.99889,0.99736,0.99499,0.99177,0.99891,0.99722,0.99499,0.96462,0.16164,0.24583,0.09369,0.7584,0,0.00147325,0.00147325,0.00147325
71,5600.91,0.2199,0.28687,0.19147,0.79216,0,0.99899,0.99734,0.99499,0.99194,0.99894,0.99728,0.99499,0.96449,0.16167,0.24583,0.09357,0.75838,0,0.00145945,0.00145945,0.00145945
72,5680.39,0.21752,0.28487,0.18895,0.79255,0,0.99896,0.99738,0.99499,0.99184,0.9989,0.99732,0.99499,0.96442,0.16163,0.24572,0.09345,0.75836,0,0.00144554,0.00144554,0.00144554
73,5759.26,0.22024,0.28972,0.1911,0.79291,0,0.99901,0.99737,0.99499,0.99176,0.99895,0.99732,0.99499,0.9647,0.16161,0.24566,0.09335,0.75837,0,0.00143152,0.00143152,0.00143152
74,5838.48,0.21865,0.28533,0.18888,0.79189,0,0.999,0.99737,0.99499,0.99175,0.99894,0.99731,0.99499,0.96477,0.16166,0.24569,0.09334,0.75837,0,0.0014174,0.0014174,0.0014174
75,5917.72,0.21772,0.28435,0.18756,0.79107,0,0.99897,0.99737,0.99499,0.99175,0.99892,0.99732,0.99499,0.96467,0.16155,0.24561,0.09316,0.75835,0,0.00140318,0.00140318,0.00140318
